date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2017-09-19,6465.569824,6467.790039,6446.75,6461.319824,6461.319824,1816080000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-09-20,6459.740234,6466.049805,6414.22998,6456.040039,6456.040039,2083580000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-09-21,6448.569824,6448.569824,6405.299805,6422.689941,6422.689941,1779600000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-09-22,6401.439941,6429.540039,6400.810059,6426.919922,6426.919922,1648690000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-09-25,6403.109863,6408.049805,6343.959961,6370.589844,6370.589844,2061150000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-09-26,6391.850098,6405.0,6364.569824,6380.160156,6380.160156,1935990000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-09-27,6414.370117,6472.649902,6405.359863,6453.259766,6453.259766,2068400000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-09-28,6437.959961,6456.22998,6427.660156,6453.450195,6453.450195,1882790000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-09-29,6461.279785,6497.97998,6454.859863,6495.959961,6495.959961,1970720000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-02,6506.080078,6527.220215,6484.140137,6516.720215,6516.720215,1984400000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-03,6523.740234,6532.180176,6509.709961,6531.709961,6531.709961,1972760000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-04,6521.959961,6546.459961,6513.120117,6534.629883,6534.629883,1941470000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-05,6552.870117,6587.209961,6547.649902,6585.359863,6585.359863,1888970000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-06,6566.950195,6590.180176,6566.839844,6590.180176,6590.180176,1752170000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-09,6597.370117,6599.339844,6572.439941,6579.72998,6579.72998,1494160000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-10,6602.490234,6608.299805,6561.779785,6587.25,6587.25,1802480000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-11,6586.72998,6604.209961,6577.990234,6603.549805,6603.549805,1837860000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-12,6594.759766,6613.5,6586.319824,6591.509766,6591.509766,2020330000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-13,6613.209961,6616.580078,6602.200195,6605.799805,6605.799805,1761700000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-16,6622.549805,6632.5,6607.029785,6624.0,6624.0,1632240000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-17,6621.419922,6628.600098,6613.209961,6623.660156,6623.660156,1653160000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-18,6634.259766,6635.52002,6613.549805,6624.220215,6624.220215,1738060000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-19,6583.700195,6605.290039,6558.529785,6605.069824,6605.069824,1847020000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-20,6633.370117,6640.029785,6622.919922,6629.049805,6629.049805,1812220000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-23,6641.569824,6641.569824,6581.149902,6586.830078,6586.830078,1813080000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-24,6598.609863,6611.899902,6582.060059,6598.430176,6598.430176,1852610000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-25,6587.220215,6600.640137,6517.930176,6563.890137,6563.890137,2205790000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-26,6567.589844,6582.759766,6550.029785,6556.77002,6556.77002,2125640000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-27,6635.029785,6708.129883,6625.779785,6701.259766,6701.259766,2414520000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-30,6693.77002,6727.390137,6677.149902,6698.959961,6698.959961,2015920000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-10-31,6713.709961,6737.75,6705.790039,6727.669922,6727.669922,2054220000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-01,6758.640137,6759.660156,6691.47998,6716.529785,6716.529785,2074230000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-02,6709.390137,6719.970215,6677.549805,6714.939941,6714.939941,2282300000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-03,6737.089844,6765.140137,6712.930176,6764.439941,6764.439941,2203880000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-06,6763.299805,6790.669922,6763.169922,6786.439941,6786.439941,2173120000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-07,6785.439941,6795.52002,6750.350098,6767.779785,6767.779785,2209280000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-08,6764.850098,6791.649902,6753.339844,6789.120117,6789.120117,2121340000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-09,6737.450195,6758.930176,6687.279785,6750.049805,6750.049805,2243500000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-10,6736.390137,6757.339844,6727.350098,6750.939941,6750.939941,1979120000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-13,6727.390137,6766.299805,6723.430176,6757.600098,6757.600098,1976460000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-14,6733.870117,6743.629883,6709.27002,6737.870117,6737.870117,1988230000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-15,6700.680176,6725.319824,6667.310059,6706.209961,6706.209961,1923730000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-16,6742.339844,6806.669922,6742.339844,6793.290039,6793.290039,2020380000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-17,6794.450195,6797.75,6777.430176,6782.790039,6782.790039,2009220000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-20,6789.279785,6795.830078,6779.490234,6790.709961,6790.709961,1811750000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-21,6820.549805,6862.660156,6820.02002,6862.47998,6862.47998,1891960000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-22,6869.529785,6874.52002,6859.279785,6867.359863,6867.359863,1589150000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-24,6878.109863,6890.02002,6873.740234,6889.160156,6889.160156,872110000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-27,6889.910156,6897.430176,6867.890137,6878.52002,6878.52002,1781550000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-28,6893.720215,6914.189941,6866.209961,6912.359863,6912.359863,2003840000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-29,6907.279785,6908.330078,6793.950195,6824.390137,6824.390137,2456990000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-11-30,6852.799805,6888.649902,6838.47998,6873.970215,6873.970215,2468530000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-01,6844.040039,6872.169922,6737.160156,6847.589844,6847.589844,2302140000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-04,6897.129883,6899.22998,6770.689941,6775.370117,6775.370117,2427170000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-05,6759.140137,6836.450195,6752.319824,6762.209961,6762.209961,2085760000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-06,6742.069824,6787.419922,6734.129883,6776.379883,6776.379883,1901770000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-07,6785.740234,6829.290039,6778.200195,6812.839844,6812.839844,1953740000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-08,6859.950195,6870.47998,6831.609863,6840.080078,6840.080078,1825640000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-11,6847.640137,6879.799805,6844.879883,6875.080078,6875.080078,1836780000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-12,6872.709961,6884.799805,6856.299805,6862.319824,6862.319824,1872810000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-13,6880.410156,6897.620117,6871.870117,6875.799805,6875.799805,1931090000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-14,6887.379883,6901.129883,6851.629883,6856.529785,6856.529785,1990090000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-15,6871.549805,6945.819824,6871.450195,6936.580078,6936.580078,3529590000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-18,6980.399902,7003.890137,6975.540039,6994.759766,6994.759766,2150580000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-19,6991.25,6995.879883,6951.490234,6963.850098,6963.850098,2084190000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-20,6991.25,6991.25,6935.419922,6960.959961,6960.959961,1888140000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-21,6972.879883,6992.629883,6961.209961,6965.359863,6965.359863,1827410000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-22,6958.02002,6962.259766,6944.450195,6959.959961,6959.959961,1541880000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-26,6928.919922,6942.140137,6915.560059,6936.25,6936.25,1301000000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-27,6941.450195,6955.379883,6931.339844,6939.339844,6939.339844,1411010000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-28,6953.379883,6954.799805,6936.75,6950.160156,6950.160156,1319870000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
2017-12-29,6952.609863,6954.97998,6903.390137,6903.390137,6903.390137,1575290000.0,^IXIC,NASDAQ Composite,United States,USD,Yahoo Finance chart API
