date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2023-02-28,32873.46875,32873.46875,32636.429688,32656.699219,32656.699219,303760000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-01,32656.369141,32746.150391,32500.710938,32661.839844,32661.839844,292810000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-02,32780.96875,33083.449219,32665.849609,33003.570312,33003.570312,317450000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-03,33076.328125,33405.820312,33008.410156,33390.96875,33390.96875,300050000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-06,33425.320312,33572.21875,33383.46875,33431.441406,33431.441406,329190000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-07,33428.308594,33453.25,32838.210938,32856.460938,32856.460938,299400000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-08,32872.078125,32903.441406,32612.699219,32798.398438,32798.398438,242750000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-09,32876.828125,32990.460938,32190.599609,32254.859375,32254.859375,315860000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-10,32185.140625,32422.099609,31783.410156,31909.640625,31909.640625,397790000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-13,31819.929688,32240.349609,31624.869141,31819.140625,31819.140625,429090000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-14,32055.289062,32306.589844,31805.400391,32155.400391,32155.400391,391760000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-15,31759.869141,31906.470703,31429.820312,31874.570312,31874.570312,420910000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-16,31827.650391,32281.609375,31571.460938,32246.550781,32246.550781,440940000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-17,32217.320312,32217.320312,31728.699219,31861.980469,31861.980469,712100000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-20,31872.330078,32280.070312,31872.330078,32244.580078,32244.580078,357210000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-21,32420.710938,32593.679688,32346.119141,32560.599609,32560.599609,363190000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-22,32570.189453,32761.890625,32020.460938,32030.109375,32030.109375,325990000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-23,32101.490234,32511.490234,31864.740234,32105.25,32105.25,335430000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-24,32038.220703,32257.240234,31805.179688,32237.529297,32237.529297,317070000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-27,32276.720703,32564.0,32276.720703,32432.080078,32432.080078,291560000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-28,32434.849609,32551.009766,32295.5,32394.25,32394.25,248560000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-29,32566.539062,32728.039062,32539.939453,32717.599609,32717.599609,314110000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-30,32807.429688,32905.800781,32682.869141,32859.03125,32859.03125,283380000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-03-31,32901.960938,33291.0,32901.960938,33274.148438,33274.148438,353740000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-03,33245.78125,33632.898438,33245.78125,33601.148438,33601.148438,311890000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-04,33594.789062,33634.71875,33275.621094,33402.378906,33402.378906,283360000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-05,33394.601562,33543.839844,33376.269531,33482.71875,33482.71875,286660000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-06,33420.960938,33525.960938,33325.371094,33485.289062,33485.289062,258680000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-10,33425.25,33590.238281,33343.429688,33586.519531,33586.519531,232920000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-11,33586.75,33781.289062,33586.75,33684.789062,33684.789062,241430000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-12,33764.210938,33895.429688,33593.320312,33646.5,33646.5,260300000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-13,33668.96875,34054.988281,33605.171875,34029.691406,34029.691406,277230000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-14,33981.710938,34082.941406,33730.851562,33886.46875,33886.46875,276720000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-17,33930.460938,33991.230469,33796.910156,33987.179688,33987.179688,234530000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-18,33965.160156,34018.621094,33791.890625,33976.628906,33976.628906,253570000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-19,33889.828125,33957.980469,33814.648438,33897.011719,33897.011719,251490000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-20,33740.601562,33875.390625,33677.738281,33786.621094,33786.621094,307910000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-21,33793.601562,33858.828125,33688.570312,33808.960938,33808.960938,291080000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-24,33805.039062,33891.148438,33726.089844,33875.398438,33875.398438,252020000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-25,33828.339844,33875.488281,33525.390625,33530.828125,33530.828125,297880000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-26,33596.339844,33645.828125,33235.851562,33301.871094,33301.871094,321170000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-27,33381.660156,33859.75,33374.648438,33826.160156,33826.160156,343240000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-04-28,33797.429688,34104.558594,33728.398438,34098.160156,34098.160156,354310000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-01,34116.808594,34257.828125,34030.140625,34051.699219,34051.699219,244190000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-02,34017.621094,34017.75,33436.660156,33684.53125,33684.53125,274460000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-03,33726.640625,33811.839844,33396.050781,33414.238281,33414.238281,286900000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-04,33347.78125,33354.859375,32937.5,33127.738281,33127.738281,305160000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-05,33248.550781,33748.429688,33248.550781,33674.378906,33674.378906,316350000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-08,33715.148438,33747.488281,33509.230469,33618.691406,33618.691406,225680000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-09,33589.851562,33656.398438,33509.71875,33561.808594,33561.808594,232940000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-10,33707.199219,33772.089844,33239.449219,33531.328125,33531.328125,271180000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-11,33383.890625,33389.878906,33127.699219,33309.511719,33309.511719,298000000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-12,33370.578125,33406.398438,33110.609375,33300.621094,33300.621094,227570000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-15,33321.210938,33400.300781,33161.929688,33348.601562,33348.601562,224020000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-16,33275.371094,33290.851562,33006.191406,33012.140625,33012.140625,246680000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-17,33092.480469,33472.378906,33050.410156,33420.769531,33420.769531,307130000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-18,33374.558594,33579.910156,33212.089844,33535.910156,33535.910156,333070000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-19,33582.949219,33652.898438,33336.660156,33426.628906,33426.628906,315210000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-22,33408.539062,33512.300781,33207.851562,33286.578125,33286.578125,268900000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-23,33190.601562,33310.171875,33013.289062,33055.511719,33055.511719,291550000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-24,33021.761719,33031.75,32752.439453,32799.921875,32799.921875,246180000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-25,32854.261719,32870.429688,32586.560547,32764.650391,32764.650391,364670000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-26,32795.5,33162.058594,32795.5,33093.339844,33093.339844,330290000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-30,33103.648438,33132.699219,32893.96875,33042.78125,33042.78125,322700000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-05-31,32948.710938,32984.828125,32739.730469,32908.269531,32908.269531,689990000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-01,32929.851562,33167.75,32704.509766,33061.570312,33061.570312,349460000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-02,33187.578125,33805.0,33187.578125,33762.761719,33762.761719,383590000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-05,33771.128906,33804.21875,33552.789062,33562.859375,33562.859375,367170000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-06,33547.671875,33631.25,33399.691406,33573.28125,33573.28125,294070000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-07,33562.46875,33708.78125,33546.109375,33665.019531,33665.019531,347400000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-08,33656.980469,33873.808594,33630.039062,33833.609375,33833.609375,269160000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-09,33852.441406,33975.320312,33787.160156,33876.78125,33876.78125,262310000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-12,33906.800781,34077.839844,33878.460938,34066.328125,34066.328125,308130000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-13,34111.078125,34310.28125,34107.980469,34212.121094,34212.121094,308790000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-14,34044.699219,34151.421875,33783.550781,33979.328125,33979.328125,354910000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-15,33945.980469,34488.980469,33945.980469,34408.058594,34408.058594,361400000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-16,34464.019531,34588.679688,34285.691406,34299.121094,34299.121094,595230000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-20,34206.660156,34206.660156,33915.929688,34053.871094,34053.871094,334810000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-21,33990.558594,34097.929688,33876.171875,33951.519531,33951.519531,323690000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-22,33900.46875,34003.558594,33835.390625,33946.710938,33946.710938,275600000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-23,33835.660156,33835.660156,33646.488281,33727.429688,33727.429688,379800000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-26,33730.789062,33819.488281,33610.320312,33714.710938,33714.710938,265330000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-27,33739.03125,33975.648438,33730.390625,33926.738281,33926.738281,293210000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-28,33881.378906,33903.761719,33755.921875,33852.660156,33852.660156,268050000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-29,33854.570312,34147.679688,33828.628906,34122.421875,34122.421875,279940000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-06-30,34269.921875,34467.351562,34269.921875,34407.601562,34407.601562,351060000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-03,34369.78125,34465.601562,34286.539062,34418.46875,34418.46875,157590000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-05,34344.71875,34376.109375,34226.980469,34288.640625,34288.640625,274570000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-06,34171.390625,34171.390625,33771.46875,33922.261719,33922.261719,293840000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-07,33837.070312,34036.378906,33716.75,33734.878906,33734.878906,272730000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-10,33705.679688,33958.359375,33705.679688,33944.398438,33944.398438,299200000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-11,34056.941406,34288.871094,33993.011719,34261.421875,34261.421875,278940000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-12,34395.28125,34586.941406,34308.78125,34347.429688,34347.429688,331410000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-13,34412.308594,34482.261719,34365.328125,34395.140625,34395.140625,267180000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-14,34425.328125,34592.261719,34425.328125,34509.03125,34509.03125,293540000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-17,34499.738281,34665.148438,34418.71875,34585.351562,34585.351562,359780000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-18,34597.078125,34986.359375,34530.609375,34951.929688,34951.929688,385940000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-19,34991.210938,35234.050781,34991.210938,35061.210938,35061.210938,365130000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-20,35091.980469,35372.769531,35091.980469,35225.179688,35225.179688,340880000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-21,35274.320312,35340.660156,35186.050781,35227.691406,35227.691406,465270000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-24,35230.789062,35463.96875,35230.789062,35411.238281,35411.238281,284460000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-25,35421.488281,35527.570312,35365.261719,35438.070312,35438.070312,299530000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-26,35345.988281,35633.609375,35306.269531,35520.121094,35520.121094,346240000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-27,35558.789062,35645.351562,35216.578125,35282.71875,35282.71875,352230000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-28,35443.488281,35565.511719,35355.148438,35459.289062,35459.289062,369000000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-07-31,35465.96875,35566.949219,35430.21875,35559.53125,35559.53125,327410000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-01,35585.988281,35679.128906,35526.609375,35630.679688,35630.679688,259490000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-02,35551.921875,35551.921875,35226.261719,35282.519531,35282.519531,298570000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-03,35194.558594,35348.199219,35122.320312,35215.890625,35215.890625,254960000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-04,35230.128906,35506.878906,35033.761719,35065.621094,35065.621094,338290000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-07,35125.601562,35497.378906,35125.601562,35473.128906,35473.128906,300150000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-08,35345.398438,35346.640625,35007.410156,35314.488281,35314.488281,303840000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-09,35324.28125,35370.890625,35058.730469,35123.359375,35123.359375,306680000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-10,35231.539062,35578.578125,35107.601562,35176.148438,35176.148438,337110000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-11,35111.359375,35354.601562,35059.988281,35281.398438,35281.398438,277840000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-14,35273.890625,35335.449219,35169.96875,35307.628906,35307.628906,300250000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-15,35219.371094,35219.371094,34908.5,34946.390625,34946.390625,323920000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-16,34914.960938,35133.558594,34757.371094,34765.738281,34765.738281,332310000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-17,34829.609375,34888.480469,34440.730469,34474.828125,34474.828125,392850000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-18,34368.359375,34587.070312,34263.191406,34500.660156,34500.660156,320680000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-21,34531.28125,34570.960938,34248.460938,34463.691406,34463.691406,396490000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-22,34494.171875,34514.039062,34256.839844,34288.828125,34288.828125,279200000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-23,34338.589844,34534.71875,34321.0,34472.980469,34472.980469,360610000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-24,34439.828125,34694.679688,34093.648438,34099.421875,34099.421875,342520000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-25,34217.058594,34441.910156,34029.21875,34346.898438,34346.898438,257440000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-28,34441.640625,34652.910156,34441.640625,34559.980469,34559.980469,224640000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-29,34531.121094,34864.421875,34531.121094,34852.671875,34852.671875,262550000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-30,34847.800781,35025.570312,34811.738281,34890.238281,34890.238281,236070000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-08-31,34909.089844,35070.210938,34719.769531,34721.910156,34721.910156,341900000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-09-01,34876.238281,34979.179688,34720.699219,34837.710938,34837.710938,286370000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-09-05,34843.21875,34871.261719,34635.628906,34641.96875,34641.96875,283540000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-09-06,34611.679688,34611.679688,34291.558594,34443.191406,34443.191406,308900000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-09-07,34351.179688,34560.859375,34351.179688,34500.730469,34500.730469,386980000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-09-08,34487.410156,34627.851562,34473.570312,34576.589844,34576.589844,293990000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-09-11,34650.011719,34784.519531,34578.589844,34663.71875,34663.71875,291720000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-09-12,34620.019531,34852.609375,34560.550781,34645.988281,34645.988281,318670000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-09-13,34667.28125,34767.109375,34509.949219,34575.53125,34575.53125,295480000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2023-09-14,34687.5,34977.96875,34687.5,34907.109375,34907.109375,305180000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
